,Размер
737,20
738,20
739,18
740,14
741,40
742,36
743,10
744,32
745,25
746,22
747,20
748,20
749,18
750,16
751,14
752,14
753,12
754,12
755,10
756,10
757,10
758,28
759,14
760,14
761,14
762,20
763,18
764,32
765,32
766,28
767,25
768,25
769,22
770,22
771,20
772,20
773,18
774,16
775,22
776,16
777,14
778,8
779,8
780,10
781,12
782,12
783,14
784,16
785,18
786,22
787,25
788,28
789,32
790,14
791,36
792,8
793,6
794,20
795,18
796,18
797,16
798,16
799,16
800,14
801,12
802,12
803,12
804,10
805,6
806,10
807,6
808,6
809,10
810,12
811,14
812,16
813,18
814,20
815,22
816,25
817,28
818,32
819,32
820,28
821,25
822,8
823,22
824,40
825,32
826,6
827,6
828,40
829,40
830,36
831,36
832,32
833,32
834,28
835,28
836,28
837,25
838,25
839,8
840,22
841,20
842,20
843,18
844,14
845,12
846,8
847,10
848,12
849,16
850,16
851,16
852,14
853,14
854,20
855,36
856,8
857,8
858,28
859,28
860,25
861,25
862,22
863,22
864,20
865,20
866,18
867,18
868,16
869,16
870,14
871,8
872,14
873,12
874,12
875,12
876,12
877,12
878,12
879,10
880,10
881,10
882,10
883,10
884,10
885,8
886,14
887,8
888,14
889,28
890,16
891,18
892,20
893,22
894,25
895,14
896,32
897,28
898,28
899,28
900,32
901,32
902,32
903,36
904,36
905,14
906,36
907,12
908,10
909,20
910,20
911,20
912,20
913,20
914,22
915,22
916,22
917,25
918,25
919,25
920,28
921,28
922,6
923,8
924,12
925,18
926,36
927,40
928,22
929,25
930,6
931,22
932,20
933,18
934,16
935,14
936,12
937,12
938,10
939,10
940,8
941,8
942,6
943,20
944,40
945,20
946,18
947,40
948,40
949,40
950,36
951,32
952,28
953,25
954,8
955,10
956,12
957,12
958,14
959,14
960,16
961,16
962,18
963,20
964,18
965,16
966,6
967,6
968,6
969,16
970,14
971,12
972,10
973,8
974,28
975,32
976,32
977,18
978,20
979,6
980,6
981,8
982,6
983,10
984,10
985,16
986,16
987,18
988,18
989,20
990,20
991,22
992,22
993,25
994,25
995,28
996,14
997,12
998,12
999,12
1000,10
1001,18
1002,6
1003,6
1004,10
1005,12
1006,6
1007,12
1008,12
1009,12
1010,12
1011,12
1012,12
1013,14
1014,14
